kelurahan;pos_code;kecamatan
Susweni;98311;Manokwari Timur
Tuguk (Puguk);38960;Luas
Babakan;52255;Losari
Paceda;95541;Madidir (Bitung Tengah)
Acemo;98313;Manokwari Selatan
Baja;97755;Loloda Tengah
Hiliotalua (Hili Otalua);22867;Lolomatua
Louk;94723;Luwuk Timur
Barisan;45192;Losari
Sobol Baru;94770;Mantoh
Lubuk Binjai;31629;Lubuk Linggau Selatan Satu (I)
Kolori;94654;Lore Barat
Aek Lancat;22766;Lubuk Barumun
Bakun Pantai;97755;Loloda Tengah
Anday;98313;Manokwari Selatan
Blubuk;52255;Losari
Lelio;94654;Lore Barat
Barataku;97755;Loloda Tengah
Bojongsari;52255;Losari
Dukuhsalam;52255;Losari
Umbul;38960;Luas
Bilote;97755;Loloda Tengah
Andaleh;26261;Luak (Luhak)
Lengkeka;94654;Lore Barat
Jatisawit (Jati Sawit);52255;Losari
Lubuk Kupang;31629;Lubuk Linggau Selatan Satu (I)
Petanang Ulu;31618;Lubuk Linggau Utara Satu (I)
Sulubombong;94770;Mantoh
Gam Kahe (Gamkahe);97755;Loloda Tengah
Kalibuntu;52255;Losari
Mungo;26261;Luak (Luhak)
Wangurer Barat;95541;Madidir (Bitung Tengah)
Anggresi (Angrisi);98313;Manokwari Selatan
Tomehipi;94654;Lore Barat
Sedoa;94658;Lore Utara
Kalirahayu;45192;Losari
Batang Bulu Jae;22766;Lubuk Barumun
Dihara;98313;Manokwari Selatan
Jangailulu (Jange Lili);97755;Loloda Tengah
Hilisangowola;22867;Lolomatua
Molino;94723;Luwuk Timur
Jatimulyo;63260;Mantingan
Perumnas Rahmah;31629;Lubuk Linggau Selatan Satu (I)
Batang Bulu Tanggal;22766;Lubuk Barumun
Dobut (Doopud\/Doput);98313;Manokwari Selatan
Sungai Kamuyang;26261;Luak (Luhak)
Sumber Agung;31619;Lubuk Linggau Utara Satu (I)
Katebu;98313;Manokwari Selatan
Tj. Haro Sikabu-kabu Pd. Panjang;26261;Luak (Luhak)
Tuare;94654;Lore Barat
Pohi;94723;Luwuk Timur
Watumaeta;94658;Lore Utara
Pasar Permiri;31611;Lubuk Linggau Barat Dua (II)
Batang Tanggal Baru;22766;Lubuk Barumun
Kalisari;45192;Losari
Ko'olotano;22867;Lolomatua
Jano;97755;Loloda Tengah
Rahmah;31629;Lubuk Linggau Selatan Satu (I)
Pumadada (Puma Dada);97755;Loloda Tengah
Berora;84388;Lopok
Bawomaenamolo;22868;Luahagundre Maniamolo
Sidorejo;31616;Lubuk Linggau Barat Dua (II)
Tosomolo;97755;Loloda Tengah
Koendrafo;22867;Lolomatua
Langam;84388;Lopok
Bonal;22766;Lubuk Barumun
Tapak Lebar;31611;Lubuk Linggau Barat Dua (II)
Botohili Silambo;22868;Luahagundre Maniamolo
Cera;97763;Loloda Kepulauan
Uwedikan;94723;Luwuk Timur
Wuasa;94658;Lore Utara
Lopok;84388;Lopok
Taba Baru;31619;Lubuk Linggau Utara Satu (I)
Ulak Lebar;31611;Lubuk Linggau Barat Dua (II)
Eka Marga;31627;Lubuk Linggau Selatan Dua (II)
Dagasuli;97763;Loloda Kepulauan
Gunung Manobot;22766;Lubuk Barumun
Lopok Beru;84388;Lopok
Long Isun;75768;Long Pahangai
Botohili Sorake;22868;Luahagundre Maniamolo
Bandar Buat (Banda Buek);25231;Lubuk Kilangan
Lawa-Lawa Luo;22867;Lolomatua
Dama;97763;Loloda Kepulauan
Rawang Kao Barat;28655;Lubuk Dalam
Mamak (Mama);84388;Lopok
Kalemago;94657;Lore Timur
Godean;64471;Loceret
Batu Gadang;25236;Lubuk Kilangan
Huta Dolok (Latong);22766;Lubuk Barumun
Karang Ketuan;31627;Lubuk Linggau Selatan Dua (II)
Dedeta;97763;Loloda Kepulauan
Long Lunuk;75768;Long Pahangai
Huta Lombang;22766;Lubuk Barumun
Pungkit;84388;Lopok
Botohilisalo'o;22868;Luahagundre Maniamolo
Jatirejo;64471;Loceret
Hutaibus (Huta Ibus);22766;Lubuk Barumun
Beringin\/Baringin;25235;Lubuk Kilangan
Orudua Lawa-lawa Luo (Orudua Lawa-Lawa Lou);22867;Lolomatua
Dowonggila;97763;Loloda Kepulauan
Karangsono;64471;Loceret
Hutanopan (Huta Nopan);22766;Lubuk Barumun
Tatede;84388;Lopok
Botohilitano;22868;Luahagundre Maniamolo
Long Lunuk Baru;75768;Long Pahangai
Fitako;97763;Loloda Kepulauan
Janji Lobi Lima;22766;Lubuk Barumun
Marga Mulya;31627;Lubuk Linggau Selatan Dua (II)
Indarung;25237;Lubuk Kilangan
Tomodo;97755;Loloda
Janji Matogu;22766;Lubuk Barumun
Maholo;94657;Lore Timur
Giri Sako;29556;Logas Tanah Darat
Kenep;64471;Loceret
Pagaran Jae Batu;22766;Lubuk Barumun
Jikolamo;97763;Loloda Kepulauan
Tesikhori;22867;Lolomatua
Bangun Sari;24782;Longkib
Kwagean;64471;Loceret
Karangdempel;52255;Losari
Koto Lalang;25232;Lubuk Kilangan
Hiliamaetaniha;22868;Luahagundre Maniamolo
Long Pahangai I;75768;Long Pahangai
Hulu Teso;29556;Logas Tanah Darat
Hilimaenamolo;22868;Luahagundre Maniamolo
Kuantan Sako;29556;Logas Tanah Darat
Totala;97755;Loloda
Salube;97763;Loloda Kepulauan
Marga Rahayu;31627;Lubuk Linggau Selatan Dua (II)
Padang Besi;25233;Lubuk Kilangan
Loceret;64471;Loceret
Mekarsari;94657;Lore Timur
Bukit Panjang;24782;Longkib
Pagaran Jalu Jalu;22766;Lubuk Barumun
Logas;29556;Logas Tanah Darat
Tuhemberua;22867;Lolomatua
Macanan;64471;Loceret
Tobo Tobo;97763;Loloda Kepulauan
Bubung;94717;Luwuk Selatan
Lagundri;22868;Luahagundre Maniamolo
Totala Jaya;97755;Loloda
Lubuk Kebun;29556;Logas Tanah Darat
Tarantang;25234;Lubuk Kilangan
Moneng Sepati;31627;Lubuk Linggau Selatan Dua (II)
Pagaran Malaka;22766;Lubuk Barumun
Long Pahangai II;75768;Long Pahangai
Darul Aman (Ginasing);24782;Longkib
Tumari;22867;Lolomatua
Perhentian Luas;29556;Logas Tanah Darat
Mungkung;64471;Loceret
Tuakara;97763;Loloda Kepulauan
Orahili Faomasi;22868;Luahagundre Maniamolo
Tuguis;97755;Loloda
Betung I;30868;Lubuk Keliat
Tamadue;94657;Lore Timur
Rambahan;29556;Logas Tanah Darat
Ngepeh;64471;Loceret
Darussalam;24782;Longkib
Sondregeasi;22868;Luahagundre Maniamolo
Long Pakaq;75768;Long Pahangai
Bakun;97755;Loloda
Sako Margasari (Sako Margosari);29556;Logas Tanah Darat
Ambukha;22875;Lolofitu Moi
Nglaban;64471;Loceret
Betung II;30868;Lubuk Keliat
Winowanga;94657;Lore Timur
Sidodadi;29556;Logas Tanah Darat
Karangjunti;52255;Losari
Dinoyo;65144;Lowokwaru
Lae Saga;24782;Longkib
Pagaran Mompang;22766;Lubuk Barumun
Bantoli (Bantol);97755;Loloda
Duria;22875;Lolofitu Moi
Bali Ledo;87284;Loli
Sikijang;29556;Logas Tanah Darat
Pagaran Silindung;22766;Lubuk Barumun
Simpang Periuk (Simpang Priuk);31627;Lubuk Linggau Selatan Dua (II)
Patihan;64471;Loceret
Karangsambung;52255;Losari
Jatimulyo;65141;Lowokwaru
Long Pakaq Baru;75768;Long Pahangai
Parsombaan;22766;Lubuk Barumun
Baleura (Baliura);94656;Lore Tengah
Bera Dolu;87284;Loli
Embecang (Embacang);30868;Lubuk Keliat
Kecipir;52255;Losari
Hilimbowo Mau;22875;Lolofitu Moi
Putukrejo;64471;Loceret
Bosala;97755;Loloda
Ketawanggede;65145;Lowokwaru
Pasar Latong;22766;Lubuk Barumun
Longkib;24782;Longkib
Habeahan;22475;Lintong Nihuta
Situgal;29556;Logas Tanah Darat
Lowokwaru;65141;Lowokwaru
Tanjung Raya;31619;Lubuk Linggau Utara Satu (I)
Kasi Raja (Kasih Raja);30868;Lubuk Keliat
Sekaran;64471;Loceret
Bariri;94656;Lore Tengah
Sukaraja;29556;Logas Tanah Darat
Bukit Mambual (Bukit Membual);94717;Luwuk Selatan
Long Tuyoq;75768;Long Pahangai
Buo;97755;Loloda
Hilimbuasi;22875;Lolofitu Moi
Sangkilon;22766;Lubuk Barumun
Panji;24782;Longkib
Merjosari;65144;Lowokwaru
Dedekadu (Dede Kadu);87284;Loli
Kedungneng;52255;Losari
Mojolangu;65142;Lowokwaru
Sombron;64471;Loceret
Batu Urip;31627;Lubuk Linggau Utara Dua (II)
Sungai Rambai;29556;Logas Tanah Darat
Doda;94656;Lore Tengah
Siali Ali;22766;Lubuk Barumun
Ketiau;30868;Lubuk Keliat
Hiliuso;22875;Lolofitu Moi
Kahatola;97755;Loloda
Hanga Hanga;94717;Luwuk Selatan
Sumbersari;65145;Lowokwaru
Teratak Rendah;29556;Logas Tanah Darat
Rantau Panjang;24782;Longkib
Sihiuk;22766;Lubuk Barumun
Hangira (Hanggira);94656;Lore Tengah
Hutasoit I (Hutasoit);22475;Lintong Nihuta
Kedi;97755;Loloda
Tasik Madu (Tasikmadu);65143;Lowokwaru
Limbangan;52255;Losari
Iwoikondo;93581;Loea
Dira Tana;87284;Loli
Lubuk Keliat;30868;Lubuk Keliat
Lolofitu;22875;Lolofitu Moi
Hanga-Hanga Permai;94717;Luwuk Selatan
Naha Aru (Naha Aruq);75768;Long Pahangai
Lalowura;93581;Loea
Tlogomas;65144;Lowokwaru
Sepang;24782;Longkib
Suro Dingin (Surodingin);22766;Lubuk Barumun
Sukorejo;64471;Loceret
Laba Besar;97755;Loloda
Tangga Bosi;22766;Lubuk Barumun
Payalengkang (Payalingkung);30868;Lubuk Keliat
Hutasoit II;22475;Lintong Nihuta
Lamoare;93581;Loea
Losari Kidul;52255;Losari
Tanjungrejo;64471;Loceret
Sikerabang;24782;Longkib
Laba Kecil;97755;Loloda
Doka Kaka;87284;Loli
Jole;94717;Luwuk Selatan
Talang Tengah Darat;30868;Lubuk Keliat
Loea;93581;Loea
Melan;75656;Long Mesangat
Baloi Indah;29432;Lubuk Baja
Muara Danau;31593;Lintang Kanan
Mataiwoi;93581;Loea
Tekenglagahan (Teken Glagahan);64471;Loceret
Kompo;94717;Luwuk Selatan
Linggua;97755;Loloda
Lobutua (Lobu Tua);22475;Lintong Nihuta
Talang Tengah Laut;30868;Lubuk Keliat
Losari Kidul;45192;Losari
Datah Naha;75768;Long Pahangai
Loda Pare;87284;Loli
Batu Selicin;29441;Lubuk Baja
Peatoa;93581;Loea
Salu;97755;Loloda
Tempel Wetan;64471;Loceret
Kampung Pelita;29443;Lubuk Baja
Ulak Kembahang;30868;Lubuk Keliat
Mukti Utama;75656;Long Mesangat
Simbalae (Simbalai);93581;Loea
Anah;75766;Long Iram
Maahas;94717;Luwuk Selatan
Bahingin;94750;Lobu
Delang Kerohong (Delang Krohong);75768;Long Pahangai
Tolama;85981;Loaholu
Teposua;93581;Loea
Losari Lor;45192;Losari
Nagasaribu I (Naga Saribu I);22475;Lintong Nihuta
Empang Baru;28655;Lubuk Dalam
Lolak II;95741;Lolak
Soasio (Soa-Sio);97755;Loloda
Manola;87284;Loli
Tinomu;93581;Loea
Nibong (Nibung);31593;Lintang Kanan
Lirung Ubing;75768;Long Pahangai
Balean;94750;Lobu
Bajulan;64471;Loceret
Jembayan;75571;Loa Kulu
Segoy Makmur (Segoi Makmur);75656;Long Mesangat
Tasye;97755;Loloda
Kelian Luar (Kalian Luar);75766;Long Iram
Lubuk Dalam;28655;Lubuk Dalam
Sobawawi (Soba Wawi);87284;Loli
Candirejo;64471;Loceret
Jembayan Dalam;75571;Loa Kulu
Bolobungkang;94750;Lobu
Liu Mulang;75768;Long Pahangai
Tolofuo;97755;Loloda
Lolak Tambolango;95741;Lolak
Nagasaribu II (Naga Saribu II);22475;Lintong Nihuta
Gejagan;64471;Loceret
Dolom;94750;Lobu
Rawang Kao;28655;Lubuk Dalam
Pagar Jati;31593;Lintang Kanan
Genjeng;64471;Loceret
Sika Makmur;75656;Long Mesangat
Jembayan Tengah;75571;Loa Kulu
Pammas;90672;Liukang Kalmas (Kalukuang Masalima)
Tana Rara;87284;Loli
Keliwai (Keliway);75766;Long Iram
Legok;45252;Lohbener
Nagasaribu III;22475;Lintong Nihuta
Mongkoinit;95741;Lolak
Long Hubung;75770;Long Hubung
Kadodi;94750;Lobu
Jonggon Desa;75571;Loa Kulu
Nusa;23355;Lhoknga (Lho'nga)
Linggang Melapeh Baru (Melapeh Baru);75576;Linggang Bigung
Sumber Agung;75654;Long Mesangat
Rantau Aleh (Rantaualih);31593;Lintang Kanan
Kelombok;29872;Lingga
Sabaru;90672;Liukang Kalmas (Kalukuang Masalima)
Lambuli;94750;Lobu
Poleonro;92766;Libureng
Jonggon Jaya (Karya Utama);75571;Loa Kulu
Pone;96215;Limboto Barat
Tema Tana;87284;Loli
Linggang Muara Leban (Muara Leban);75766;Long Iram
Polewali;92766;Libureng
Nagasaribu IV;22475;Lintong Nihuta
Mongkoinit Barat;95741;Lolak
Lobu;94750;Lobu
Rantau Kasai;31593;Lintang Kanan
Sumber Sari;75656;Long Mesangat
Lohbener;45252;Lohbener
Jongkang;75571;Loa Kulu
Lirung;95875;Lirung
Nagasaribu V;22475;Lintong Nihuta
Motabang;95741;Lolak
Long Hubung Ulu;75770;Long Hubung
Niubulan;94750;Lobu
Loa Kulu Kota;75571;Loa Kulu
Seubun Ayon;23355;Lhoknga (Lho'nga)
Linggang Mencelew;75576;Linggang Bigung
Ubu Pede;87284;Loli
Long Daliq;75766;Long Iram
Kelumu;29872;Lingga
Ponre-Ponre;92766;Libureng
Lirung Matane;95875;Lirung
Sukarami;31593;Lintang Kanan
Uha Uhangon;94750;Lobu
Tunggulo;96217;Limboto Barat
Pamayahan;45252;Lohbener
Loh Sumber;75571;Loa Kulu
Suwa;92766;Libureng
Mentuda;29872;Lingga
Padang Lalow;95741;Lolak
Lutan;75770;Long Hubung
Seubun Keutapang;23355;Lhoknga (Lho'nga)
Long Iram Bayan;75766;Long Iram
Lirung Satu (Lirung I);95875;Lirung
Swadaya;92766;Libureng
Lung Anai;75571;Loa Kulu
Yosonegoro (Yoosonegoro);96216;Limboto Barat
Linggang Purwodadi (Purwadadi);75576;Linggang Bigung
Tanjung Alam;31593;Lintang Kanan
Mepar;29872;Lingga
Rambatan Kulon;45252;Lohbener
Pindol;95741;Lolak
Tanah Batue (Tanabatue);92766;Libureng
Tanah Abang;75654;Long Mesangat
Biyonga;96212;Limboto
Long Iram Ilir;75766;Long Iram
Musi;95875;Lirung
Tanjong;23355;Lhoknga (Lho'nga)
Ubu Raya;87284;Loli
Margahayu;75571;Loa Kulu
Matalibaq;75770;Long Hubung
Tappale;92766;Libureng
Pargaulan;22475;Lintong Nihuta
Tanjung Jati;31593;Lintang Kanan
Linggang Tutung (Tutuh \/ Tutung);75576;Linggang Bigung
Uwe Daka-Daka;94750;Lobu
Pindolili;95741;Lolak
Sindangkerta;45252;Lohbener
Wee Dabo;87284;Loli
Ponoragan;75571;Loa Kulu
Sereh;95875;Lirung
Parulohan;22475;Lintong Nihuta
Sereh I;95875;Lirung
Baadale;85912;Lobalain
Memahak Teboq;75770;Long Hubung
Merawang;29872;Lingga
Bente Tualan (Bente \/ Tualan);76283;Long Kali
Long Iram Kota;75766;Long Iram
Bukit Harapan;29874;Lingga Utara
Bolihuangga;96218;Limboto
Wee Karou;87284;Loli
Weu Raya;23355;Lhoknga (Lho'nga)
Rempanga;75571;Loa Kulu
Talolang;95875;Lirung
Musai;29872;Lingga
Bebalain;85918;Lobalain
Pinogalum Timur;95741;Lolak
Bongohulawa;96214;Limboto
Duara;29874;Lingga Utara
Sibuntoan Parpea \/ Parpean;22475;Lintong Nihuta
Baluk Herin (Balukhering);86252;Lewolema
Umojati;31593;Lintang Kanan
Nerekeh;29872;Lingga
Banjar Balam;29353;Lirik
Sepakat;75571;Loa Kulu
Gunung Putar (Gunungputar);76283;Long Kali
Bantala;86252;Lewolema
Sirau;75770;Long Hubung
Tompo Bulu (Tompobulu);92766;Libureng
Helebeik;85918;Lobalain
Panggak Darat;29872;Lingga
Abak;95737;Lolayan
Limbung;29874;Lingga Utara
Wanuawaru;92766;Libureng
Sibuntuon Partur (Sibuntuon);22475;Lintong Nihuta
Ile Padung;86252;Lewolema
Tri Pariq Makmur;75770;Long Hubung
Panggak Laut;29872;Lingga
Pinogaluman;95741;Lolak
Kilubaga;99522;Libarek
Linau;29874;Lingga Utara
Long Iram Seberang (Longiram Seberang);75766;Long Iram
Muliama;99522;Libarek
Wana Pariq;75770;Long Hubung
Pekajang;29872;Lingga
Batu Kumbang (Batu Kumbung);83371;Lingsar
Bulota;96213;Limboto
Gudang Batu;29353;Lirik
Holoama;85918;Lobalain
Lewobelen;86252;Lewolema
Pancur;29874;Lingga Utara
Musalfak;99522;Libarek
Bakan;95737;Lolayan
Dutulanaa;96213;Limboto
Japura;29353;Lirik
Kolobolon;85918;Lobalain
Punakul;99522;Libarek
Antara;24565;Linge
Batoq Kelo;75767;Long Bagun
Kepala Telake;76283;Long Kali
Paingnapang (Painapang);86252;Lewolema
Sigompul;22475;Lintong Nihuta
Lambang Sari I, II, III;29353;Lirik
Wenabubaga;99522;Libarek
Kuli;85918;Lobalain
Hepuhulawa;96212;Limboto
Rantau Panjang;29874;Lingga Utara
Arul Item;24565;Linge
Bombanon;95737;Lolayan
Lambang Sari IV;29353;Lirik
Riangkotek;86252;Lewolema
Kuli Aisele;85918;Lobalain
Landasan Ulin Barat;70722;Liang Anggang
Resun;29874;Lingga Utara
Long Kali;76283;Long Kali
Hunggaluwa;96219;Limboto
Sumber Sari;75571;Loa Kulu
Landasan Ulin Selatan;70724;Liang Anggang
Waru;45252;Lohbener
Sigumpar;22475;Lintong Nihuta
Sauk;95741;Lolak
Delung Sekinel;24565;Linge
Batu Majang;75767;Long Bagun
Kopandakan II;95737;Lolayan
Sinar Hading;86252;Lewolema
Batu Mekar;83371;Lingsar
Landasan Ulin Tengah;70723;Liang Anggang
Lekunik;85916;Lobalain
Solog;95741;Lolak
Hutuo;96213;Limboto
Landasan Ulin Utara;70724;Liang Anggang
Bug-Bug;83371;Lingsar
Siharjulu;22475;Lintong Nihuta
BidiPraing;87151;Lewa Tidahu
Tandu;95741;Lolak
Makmur Jaya;76283;Long Kali
Apal;94883;Liang
Kayubulan;96211;Limboto
Dasan Geria;83371;Lingsar
Loleoen;85918;Lobalain
Kangeli;87151;Lewa Tidahu
Bajo;94883;Liang
Sungai Payang;75571;Loa Kulu
Lolayan;95737;Lolayan
Kayumerah;96214;Limboto
Totabuan;95741;Lolak
Balayon;94883;Liang
Metina;85918;Lobalain
Laihau (Laihawu);87151;Lewa Tidahu
Duman;83371;Lingsar
Siponjot;22475;Lintong Nihuta
Basosol;94883;Liang
Harapan Baru;75131;Loa Janan Ilir
Malahu;96211;Limboto
Matali Baru;95737;Lolayan
Despot Linge (Dispot Linge);24565;Linge
Lambang Sari V;29353;Lirik
Tuyat;95741;Lolak
Maruat;76283;Long Kali
Mondulambi (Mondu Lambi);87151;Lewa Tidahu
Binuntuli;94883;Liang
Gegelang;83371;Lingsar
Lirik Area;29353;Lirik
Mokdale;85914;Lobalain
Polohungo;96212;Limboto
Rapak Dalam;75131;Loa Janan Ilir
Gelampang Gading;24565;Linge
Namodale;85918;Lobalain
Resun Pesisir;29874;Lingga Utara
Boyoumoute (Boyomoute);94883;Liang
Sengkotek;75131;Loa Janan Ilir
Tenilo;96218;Limboto
Mengkang;95737;Lolayan
Bumi Mulya;29556;Logas Tanah Darat
Halunuk;71282;Loksado
Gemboyah;24565;Linge
Sitio II;22475;Lintong Nihuta
Long Bagun Ilir;75767;Long Bagun
Umamanu;87151;Lewa Tidahu
Simpang Tiga (Loa Janan Ilir);75131;Loa Janan Ilir
Kindandal;94883;Liang
Mendik;76283;Long Kali
Mekar Sari;29353;Lirik
Tilihuwa (Tilihua);96214;Limboto
Tani Aman;75131;Loa Janan Ilir
Oeleka;85917;Lobalain
Liang;94883;Liang
Sekanah;29874;Lingga Utara
Haratai;71282;Loksado
Gewat;24565;Linge
Mopait;95737;Lolayan
Pasir Ringgit;29353;Lirik
Watumbelar;87151;Lewa Tidahu
Sukomulyo (Suko Mulyo);75766;Long Iram
Sitolu Bahal;22475;Lintong Nihuta
Loolong;94883;Liang
Long Bagun Ulu;75767;Long Bagun
Bakungan;75391;Loa Janan
Lembang Lembang;91321;Limboro
Oelunggu;85917;Lobalain
Pasir Sialang Jaya;29353;Lirik
Hulu Banyu;71282;Loksado
Ise Ise;24565;Linge
Mamulusan;94883;Liang
Sungaibesar (Sungai Besar);29874;Lingga Utara
Ujoh Halang;75766;Long Iram
Bidi Hunga;87150;Lewa
Redang Seko;29353;Lirik
Batuah;75391;Loa Janan
Okumel;94883;Liang
Jamat;24565;Linge
Long Hurai;75767;Long Bagun
Mendik Bhakti;76283;Long Kali
Kamawakan;71282;Loksado
Limboro;91321;Limboro
Belungkur;29874;Lingga Timur
Mopusi;95737;Lolayan
Loa Duri Ilir;75391;Loa Janan
Popidolon;94883;Liang
Kambata Wundut;87150;Lewa
Tapian Nauli;22475;Lintong Nihuta
Rejosari;29353;Lirik
Gegerung;83371;Lingsar
Saleati;94883;Liang
Seko Lubuk Tigo;29353;Lirik
Adang Jaya (Muara Adang I);76282;Long Ikis
Loa Duri Ulu;75391;Loa Janan
Long Melaham;75767;Long Bagun
Lok Lahung;71282;Loksado
Bukitlangkap (Bukit Langkap);29872;Lingga Timur
Loa Janan Ulu;75391;Loa Janan
Kemerleng (Air Asin Kemerleng);24565;Linge
Sidomulyo;29353;Lirik
Atang Pait;76282;Long Ikis
Napo;91321;Limboro
Oematamboli;85918;Lobalain
Long Merah;75767;Long Bagun
Kambuhapang (Kambu Hapang);87150;Lewa
Giri Madia;83371;Lingsar
Selekan;94883;Liang
Mendik Karya;76283;Long Kali
Sukajadi;29353;Lirik
Purwajaya;75391;Loa Janan
Palece;91321;Limboro
Kute Baru;24565;Linge
Sanggaoen;85916;Lobalain
Kerandin;29872;Lingga Timur
Loksado;71282;Loksado
Tangkop;94883;Liang
Sanoyan Selatan (Tanoyan Selatan);95737;Lolayan
Sukorejo;51271;Limpung
Gontoran;83371;Lingsar
Kondamara;87150;Lewa
Balai Tangah;27293;Lintau Buo Utara
Tomboniki;94883;Liang
Belimbing;76282;Long Ikis
Sungai Sagu;29353;Lirik
Pendulangan (Pandulangan);91321;Limboro
Suelain;85918;Lobalain
Tani Bhakti (Tani Bakti);75391;Loa Janan
Memahak Besar (Mamahak Ilir);75767;Long Bagun
Kute Keramil;24565;Linge
Mendik Makmur;76283;Long Kali
Aburage;99031;Li Anogomma
Keton;29872;Lingga Timur
Lewa Paku (Lewapaku);87150;Lewa
Tanoyan Utara;95737;Lolayan
Wonosari;29353;Lirik
Renggeang;91321;Limboro
Tuanatuk;85913;Lobalain
Bogome;99031;Li Anogomma
Tembok;51271;Limpung
Kute Rayang;24565;Linge
Erimbur;99031;Li Anogomma
Batu Bulek;27293;Lintau Buo Utara
Bu Tanalagu;86361;Lio Timur
Salarri;91321;Limboro
Banyuasin Kembaran;54181;Loano
Matawai Pawali;87150;Lewa
Lumpangi;71282;Loksado
Memahak Ulu (Mamahak Ulu);75767;Long Bagun
Kute Reje;24565;Linge
Muara Adang II (Muaraadang II);76283;Long Kali
Tani Harapan;75391;Loa Janan
Gubura;99031;Li Anogomma
Kudung;29872;Lingga Timur
Samasundu;91321;Limboro
Tapa Aog;95737;Lolayan
Karang Bayan;83371;Lingsar
Wonokerso;51271;Limpung
Kogoyapura;99031;Li Anogomma
Lubuk\/Lubuak Jantan;27293;Lintau Buo Utara
Brewe;76282;Long Ikis
Kute Riyem (Meriem);24565;Linge
Detupera;86361;Lio Timur
Mattiro Baji;90670;Liukang Tupabbiring Utara
Rakawatu;87150;Lewa
Banyuasin Separe;54181;Loano
Rukun Damai;75767;Long Bagun
Leragawi\/Megagirakuk;99031;Li Anogomma
Malinau;71282;Loksado
Tungoi I;95737;Lolayan
Tandasura (Tandassura);91321;Limboro
Fatamari;86361;Lio Timur
Mattiro Bombang;90670;Liukang Tupabbiring Utara
Kute Robel;24565;Linge
Guyangan;54181;Loano
Tana Rara (Tanarara);87150;Lewa
Abung;71392;Limpasu
Langko;83371;Lingsar
Muara Lambakan;76283;Long Kali
Longgoboma;99031;Li Anogomma
Pekaka;29872;Lingga Timur
Bukit Saloka (Bukit Seloka);76282;Long Ikis
Tangan Baru;91321;Limboro
Tanjung\/Tanjuang Bonai;27293;Lintau Buo Utara
Lubuk;99031;Li Anogomma
Hubatuwa\/Hobatua;86361;Lio Timur
Panggungan;71282;Loksado
Jetis;54181;Loano
Linge;24565;Linge
Mattiro Bulu;90670;Liukang Tupabbiring Utara
Abung Surapati;71392;Limpasu
Arjasari;46464;Leuwisari
Tungoi II;95737;Lolayan
Tingwi;99031;Li Anogomma
Lingsar;83371;Lingsar
Ujoh Bilang;75767;Long Bagun
Todang Todang;91321;Limboro
Kaliglagah (Kali Glagah);54181;Loano
Mattiro Kanja;90670;Liukang Tupabbiring Utara
Liabeke;86361;Lio Timur
Wiyaluk;99031;Li Anogomma
Muara Pias;76283;Long Kali
Ciawang;46464;Leuwisari
Jemparing;76282;Long Ikis
Sungai Pinang;29872;Lingga Timur
Tapi\/Tepi Selo;27293;Lintau Buo Utara
Lumut;24565;Linge
Tumingki;71282;Loksado
Gondang;51383;Limbangan
Mbewawora;86361;Lio Timur
Kalikalong;54181;Loano
Mattiro Labangeng;90670;Liukang Tupabbiring Utara
Hawang;71392;Limpasu
Bunde;99739;Lolat
Peteluan Indah;83371;Lingsar
Long Apari;75769;Long Apari
Buo;27292;Lintau Buo
Ulang (Muara Ulang);71282;Loksado
Teluk;29874;Lingga Timur
Baroh Blang Mee;23354;Lhoong
Kalinongko;54181;Loano
Mattiro Uleng;90670;Liukang Tupabbiring Utara
Cigadog;46464;Leuwisari
Nua Lima;86361;Lio Timur
Kayungo;76282;Long Ikis
Denema;99739;Lolat
Baroh Geunteut (Baroh Genteut);23354;Lhoong
Mungkur;24565;Linge
Ayunan Papan;71154;Lokpaikat
Kabang;71392;Limpasu
Kalisemo;54181;Loano
Gonoharjo;51383;Limbangan
Saribaye;83371;Lingsar
Baroh Krueng Kala;23354;Lhoong
Pangian;27292;Lintau Buo
Ranggatalo;86361;Lio Timur
Jayamukti;46464;Leuwisari
Mattiro Walie;90670;Liukang Tupabbiring Utara
Karangrejo;54181;Loano
Owaq;24565;Linge
Long Kerioq;75769;Long Apari
Kayungo Sari;76282;Long Ikis
Birek;23354;Lhoong
Dinggila;99739;Lolat
Cundien (Cundin);23354;Lhoong
Aek Garingging (Aek Garinggin);22982;Lingga Bayu
Bataratat;71154;Lokpaikat
Kebongunung;54181;Loano
Pantan Nangka;24565;Linge
Mattaro Adae;90671;Liukang Tupabbiring
Tanaroga;86361;Lio Timur
Linggamulya;46464;Leuwisari
Muara Telake;76283;Long Kali
Gapuy;23354;Lhoong
Sigerongan;83371;Lingsar
Karatungan;71392;Limpasu
Pantan Reduk;24565;Linge
Taluak;27292;Lintau Buo
Mattiro Bintang;90671;Liukang Tupabbiring
Glee Bruek;23354;Lhoong
Long Penaneh I;75769;Long Apari
Esalek;99739;Lolat
Linggawangi;46464;Leuwisari
Kerta Bhakti (Kerta Bakti);76282;Long Ikis
Jantang;23354;Lhoong
Kedungpoh;54181;Loano
Binderang;71154;Lokpaikat
Watuneso;86361;Lio Timur
Penarun;24565;Linge
Muara Toyu;76283;Long Kali
Aek Manyuruk;22982;Lingga Bayu
Air Haji;25668;Linggo Sari Baganti
Tigo Jangko;27292;Lintau Buo
