kecamatan;kabupaten
Kandis;Siak
Daha Selatan;Hulu Sungai Selatan
Jogorogo;Ngawi
Gamping;Sleman
Enggal;Bandar Lampung
Kegayem;Nduga
Kalikotes;Klaten
Jejawi;Ogan Komering Ilir
Gajahmungkur (Gajah Mungkur);Semarang
Jorlang Hataran;Simalungun
Daha Utara;Hulu Sungai Selatan
Jogoroto;Jombang
Kandis;Ogan Ilir
Enggano;Bengkulu Utara
Kalimanah;Purbalingga
Gandangbatu Sillanan (Gandang Batu Sillanan);Tana Toraja
Jekan Raya;Palangkaraya
Hoya;Mimika
Dako Pemean (Dako Pamean);Toli Toli
Jorong;Tanah Laut
Galang;Toli Toli
Kangae;Sikka
Johan Pahwalan (Johan Pahlawan);Aceh Barat
Gandapura (Ganda Pura);Bireuen
Enok;Indragiri Hilir
Hu'u;Dompu
Kei Besar;Maluku Tenggara
Kalimanggis;Kuningan
Kangayan;Sumenep
Jekulo;Kudus
Galang;Batam
Kei Besar Selatan;Maluku Tenggara
Huamual;Seram Bagian Barat
Joutu;Asmat
Johar Baru;Jakarta Pusat
Ganding;Sumenep
Kalinyamatan;Jepara
Dal;Nduga
Kei Besar Selatan Barat;Maluku Tenggara
Huamual Belakang;Seram Bagian Barat
Enrekang;Enrekang
Kanggime;Tolikara
Hubikiak;Jayawijaya
Jelai;Sukamara
Kaliorang;Kutai Timur
Entikong;Sanggau
Kaliori;Rembang
Jelai Hulu;Ketapang
Jombang;Cilegon
Eragayam;Mamberamo Tengah
Kalipare;Malang
Jelbuk;Jember
Hubikosi;Jayawijaya
Erelmakawia;Puncak
Jombang;Jember
Gandrungmangu;Cilacap
Kalipucang;Pangandaran
Jrengik;Sampang
Damai;Kutai Barat
Jombang;Jombang
Kangkung;Kendal
Hulonthalangi;Gorontalo
Gandus;Palembang
Damang Batu;Gunung Mas
Kalipuro;Banyuwangi
Kanigaran;Probolinggo
Damar;Belitung Timur
Hulu Gurung;Kapuas Hulu
Kanigoro;Blitar
Damau (Damao);Kepulauan Talaud
Kalirejo;Lampung Tengah
Kanor;Bojonegoro
Jelimpo;Landak
Hulu Kuantan;Kuantan Singingi
Kei Besar Utara Barat;Maluku Tenggara
Eremerasa;Bantaeng
Kalis;Kapuas Hulu
Gandusari;Blitar
Jelutung;Jambi
Kei Besar Utara Timur;Maluku Tenggara
Damer;Maluku Barat Daya
Kao;Halmahera Utara
Kei Kecil;Maluku Tenggara
Kalisat;Jember
Jemaja;Kepulauan Anambas
Gandusari;Trenggalek
Hulu Palik;Bengkulu Utara
Dampal Selatan;Toli Toli
Kalitengah;Lamongan
Kao Barat;Halmahera Utara
Jemaja Barat;Kepulauan Anambas
Hulu Sihapas;Padang Lawas Utara
Kei Kecil Barat;Maluku Tenggara
Eris;Minahasa
Dampal Utara;Toli Toli
Kei Kecil Timur;Maluku Tenggara
Kao Teluk;Halmahera Utara
Hulu Sungai;Ketapang
Juai;Balangan
Hulu Sungkai;Lampung Utara
Eromoko;Wonogiri
Kalitidu;Bojonegoro
Jemaja Timur;Kepulauan Anambas
Huristak;Padang Lawas
Dampelas;Donggala
Essang;Kepulauan Talaud
Kaliwates;Jember
Kei Kecil Timur Selatan;Maluku Tenggara
Huruna;Nias Selatan
Kao Utara;Halmahera Utara
Dampit;Malang
Kaliwedi;Cirebon
Jembrana;Jembrana
Kejajar;Wonosobo
Essang Selatan;Kepulauan Talaud
Kaliwiro;Wonosobo
Juhar;Karo
Jempang;Kutai Barat
Huta Bargot;Mandailing Natal
Kejaksan;Cirebon
Fafurwar (Irorutu);Teluk Bintuni
Kaliwungu;Kendal
Kejayan;Pasuruan
Haju;Mappi
Huta Bayu Raja;Simalungun
Jujuhan;Bungo
Kejobong;Purbalingga
Fajar Timur;Paniai
Kejuruan Muda;Aceh Tamiang
Halong;Balangan
Jujuhan Ilir;Bungo
Kelam Permai;Sintang
Danau Kembar;Solok
Kelam Tengah;Kaur
Halongonan;Padang Lawas Utara
Juli;Bireuen
Fak-Fak (Fakfak);Fak Fak
Kelapa;Bangka Barat
Danau Kerinci;Kerinci
Halongonan Timur;Padang Lawas Utara
Julok;Aceh Timur
Fak-Fak Barat (Fakfak Barat);Fak Fak
Kapala Pitu (Kapalla Pitu);Toraja Utara
Danau Kerinci Barat;Kerinci
Jumantono;Karanganyar
Jenamas;Barito Selatan
Danau Panggang;Hulu Sungai Utara
Kapas;Bojonegoro
Gane Barat;Halmahera Selatan
Jumapolo;Karanganyar
Kapetakan;Cirebon
Gane Barat Selatan;Halmahera Selatan
Jumo;Temanggung
Kapiraya;Deiyai
Gane Barat Utara;Halmahera Selatan
Kapoiala;Konawe
Gane Timur;Halmahera Selatan
Kelapa Dua;Tangerang
Kapongan;Situbondo
Gane Timur Selatan;Halmahera Selatan
Kelapa Gading;Jakarta Utara
Junjung Sirih;Solok
Kelapa Kampit;Belitung Timur
Kapontori;Buton
Gane Timur Tengah;Halmahera Selatan
Kelapa Lima;Kupang
Kaliwungu;Kudus
Kaptel;Merauke
Kaliwungu;Semarang
Ganeas;Sumedang
Kelara;Jeneponto
Junrejo;Batu
Hutaraja Tinggi (Huta Raja Tinggi);Padang Lawas
Kapuas (Sanggau Kapuas);Sanggau
Kaliwungu Selatan;Kendal
Kelay;Berau
Ibele;Jayawijaya
Gangga;Lombok Utara
Kalomdol;Pegunungan Bintang
Kelayang;Indragiri Hulu
Ibu;Halmahera Barat
Kapuas Barat;Kapuas
Ibu Selatan;Halmahera Barat
Kalome;Puncak Jaya
Kelekar;Muara Enim
Ibu Utara;Halmahera Barat
Ganra;Soppeng
Jenangan;Ponorogo
Kapuas Hilir;Kapuas
Hampang;Kotabaru
Kelila;Mamberamo Tengah
Danau Paris;Aceh Singkil
Juntinyuat;Indramayu
Hamparan Perak;Deli Serdang
Ibun;Bandung
Kalongan;Kepulauan Talaud
Idanogawo (Idano Gawo);Nias
Kaloran;Temanggung
Fak-Fak Tengah (Fakfak Tengah);Fak Fak
Idanotae;Nias Selatan
Danau Seluluk;Seruyan
Idi Rayeuk;Aceh Timur
Kapuas Hulu;Kapuas
Kalukku;Mamuju
Keliling Danau;Kerinci
Kalumpang;Mamuju
Kelimutu;Ende
Kalumpang (Kelumpang);Hulu Sungai Selatan
Juwana;Pati
Kapuas Kuala;Kapuas
Keling;Jepara
Juwangi;Boyolali
Kamal;Bangkalan
Kapuas Murung;Kapuas
Kamang Baru;Sijunjung
Kelua (Klua);Tabalong
Kepahiang;Kepahiang
Keluang;Musi Banyuasin
Koroptak;Nduga
Idi Timur;Aceh Timur
Kapuas Tengah;Kapuas
Kepala Madan;Buru Selatan
Idi Tunong;Aceh Timur
Karangjati;Ngawi
Juwiring;Klaten
Kamang Magek;Agam
Kelubagolit;Flores Timur
Ilaga;Puncak
Gantar;Indramayu
Kamanre;Luwu
Kapuas Timur;Kapuas
Kepanjen;Malang
Ilaga Utara;Puncak
Kabaena;Bombana
Kelulome;Lanny Jaya
Kapur IX/Sembilan;Lima Puluh Kota
Koroway Buluanop;Asmat
Ilamburawi;Puncak Jaya
Gantarang (Gantorang, Gangking);Bulukumba
Kepanjenkidul (Kepanjen Kidul);Blitar
Kambata Mapambuhang;Sumba Timur
Kabaena Barat;Bombana
Korupun;Yahukimo
Ile Ape;Lembata
Karamat;Buol
Kepenuhan;Rokan Hulu
Kambera;Sumba Timur
Gantarang Keke (Gantareng Keke);Bantaeng
Kadupandak;Cianjur
Kamboneri;Tolikara
Kelumbayan (Klumbayan);Tanggamus
Kosambi;Tangerang
Kepenuhan Hulu;Rokan Hulu
Kelumbayan Barat (Klumbayan Barat);Tanggamus
Kepil;Wonosobo
Kambowa;Buton Utara
Karang Agung Ilir;Banyuasin
Karangjaya (Karang Jaya);Tasikmalaya
Gantiwarno;Klaten
Kambrau (Kambraw / Kamberau);Kaimana
Kosarek;Yahukimo
Kelumpang Barat;Kotabaru
Kebon Jeruk;Jakarta Barat
Karang Bahagia (Karangbahagia);Bekasi
Kambu;Kendari
Gantung;Belitung Timur
Kelumpang Hilir;Kotabaru
Kepohbaru;Bojonegoro
Kebonagung;Demak
Kabaena Selatan;Bombana
Karangkobar;Banjarnegara
Kebonagung (Kebon Agung);Pacitan
Kelumpang Hulu;Kotabaru
Kepulauan Ambai;Kepulauan Yapen
Kamipang;Katingan
Karang Baru;Aceh Tamiang
Kosiwo;Kepulauan Yapen
Kebonarum;Klaten
Gapura;Sumenep
Kadur;Pamekasan
Kebonpedes;Sukabumi
Karanglewas;Banyumas
Kelumpang Selatan;Kotabaru
Kampa (Kampar Timur);Kampar
Kot Olin;Timor Tengah Selatan
Karang Bintang;Tanah Bumbu
Galang;Deli Serdang
Karangmalang;Sragen
Kabaena Tengah;Bombana
Kahaungu Eti (Kahaunguweti);Sumba Timur
Kota (Kediri Kota);Kediri
Kelumpang Tengah;Kotabaru
Karangmojo;Gunungkidul
Kampak;Trenggalek
Garawangi;Kuningan
Kahayan Hilir;Pulang Pisau
Karang Dapo;Musi Rawas Utara
Kota Agung;Lahat
Kelumpang Utara;Kotabaru
Kampar;Kampar
Karangmoncol;Purbalingga
Kabaena Timur;Bombana
Kahayan Hulu Utara;Gunung Mas
Kebonsari (Kebon Sari);Madiun
Kota Agung (Kota Agung Pusat);Tanggamus
Garoga;Tapanuli Utara
Kampar Kiri;Kampar
Kota Agung Barat;Tanggamus
Kema;Minahasa Utara
Kebumen;Kebumen
Kahayan Kuala;Pulang Pisau
Karang Intan;Banjar
Kebun Tebu;Lampung Barat
Kahayan Tengah;Pulang Pisau
Kabaena Utara;Bombana
Kota Agung Timur;Tanggamus
Karangnongko;Klaten
Kahu;Bone
Kota Arga Makmur;Bengkulu Utara
Kemalang;Klaten
Karangnunggal;Tasikmalaya
Karang Jaya;Musi Rawas Utara
Kota Atambua (Atambua Kota);Belu
Kemang;Bogor
Karangpandan;Karanganyar
Kampar Kiri Hilir;Kampar
Kabandungan;Sukabumi
Kota Bahagia;Aceh Selatan
Galela;Halmahera Utara
Kemangkon;Purbalingga
Karangpawitan;Garut
Kedamaian;Bandar Lampung
Garum;Blitar
Kota Baharu;Aceh Singkil
Kampar Kiri Hulu;Kampar
Karang Kancana (Karangkancana);Kuningan
Kemayoran;Jakarta Pusat
Kai;Tolikara
Karangpenang (Karang Penang);Sampang
Kota Bangun;Kutai Kartanegara
Kedamean;Gresik
Kepulauan Aruri;Supiori
Kaibar;Mappi
Galela Barat;Halmahera Utara
Kepulauan Ayau;Raja Ampat
Kampar Kiri Tengah;Kampar
Kota Bangun Darat;Kutai Kartanegara
Kedaton;Bandar Lampung
Kepulauan Botanglomang;Halmahera Selatan
Kedaton Peninjauan Raya;Ogan Komering Ulu
Kaidipang;Bolaang Mongondow Utara
Kota Barat;Gorontalo
Kampar Utara;Kampar
Kepulauan Joronga;Halmahera Selatan
Galela Selatan;Halmahera Utara
Kota Baru;Jambi
Kedawung;Cirebon
Kaimana;Kaimana
Kepulauan Karimata;Kayong Utara
Kepulauan Manipa;Seram Bagian Barat
Karangploso (Karang Ploso);Malang
Kedawung;Sragen
Kota Baru;Ende
Galela Utara;Halmahera Utara
Kepulauan Marore;Kepulauan Sangihe
Kedewan;Bojonegoro
Karangpucung;Cilacap
Kota Baru (Kotabaru);Karawang
Kepulauan Masaloka Raya;Bombana
Kairatu;Seram Bagian Barat
Galesong;Takalar
Karangrayung;Grobogan
Kepulauan Pongok;Bangka Selatan
Kediri;Tabanan
Kediri;Lombok Barat
Kota Besi;Kotawaringin Timur
Kepulauan Posek;Lingga
Galesong Selatan;Takalar
Kairatu Barat;Seram Bagian Barat
Kedokan Bunder;Indramayu
Kota Gajah;Lampung Tengah
Jonggat;Lombok Tengah
Kepulauan Roma (Romang);Maluku Barat Daya
Kais;Sorong Selatan
Kepulauan Sangkarrang;Makassar
Galesong Utara;Takalar
Kota Jantho;Aceh Besar
Karang Pilang (Karangpilang);Surabaya
Karangreja;Purbalingga
Kampung Laut;Cilacap
Kembang;Jepara
Kepulauan Sembilan;Raja Ampat
Kedondong;Pesawaran
Kembang Janggut;Kutai Kartanegara
Kais Darat;Sorong Selatan
Kedopok (Kedopak);Probolinggo
Karang Tanjung;Pandeglang
Jonggol;Bogor
Kota Juang;Bireuen
Kembang Tanjong;Pidie
Kepulauan Seribu Selatan;Kepulauan Seribu
Kabangka;Muna
Kepulauan Seribu Utara;Kepulauan Seribu
Kampung Melayu;Bengkulu
Kaisenar;Keerom
Karang Tengah;Tangerang
Kota Kefamenanu;Timor Tengah Utara
Kedu;Temanggung
Kembangan;Jakarta Barat
Kepulauan Tanakeke;Takalar
Kampung Rakyat;Labuhanbatu Selatan
Kembangbahu;Lamongan
Kepung;Kediri
Kota Kisaran Barat;Asahan
Kerajaan;Pakpak Bharat
Galing;Sambas
Kerambitan;Tabanan
Kabanjahe;Karo
Kamu;Dogiyai
Kota Kisaran Timur;Asahan
Karang Tinggi;Bengkulu Tengah
Galis;Pamekasan
Kerek;Tuban
Kaitaro;Teluk Bintuni
Kamu Selatan;Dogiyai
Kerinci Kanan;Siak
Kedung;Jepara
Kembaran;Banyumas
Kota Komba;Manggarai Timur
Galis;Bangkalan
Keritang;Indragiri Hilir
Karangampel;Indramayu
Kedung Waringin;Bekasi
Kota Komba Utara;Manggarai Timur
Kembayan;Sanggau
Kamu Timur;Dogiyai
Kerjo;Karanganyar
Kabaruan;Kepulauan Talaud
Kajang;Bulukumba
Kembru;Puncak
Karangan;Trenggalek
Kota Kualasinpang (Kota Kuala Simpang);Aceh Tamiang
Kajen;Pekalongan
Kembu;Tolikara
Kota Kudus (Kudus Kota);Kudus
Kabat;Banyuwangi
Kerkap;Bengkulu Utara
Karangan;Kutai Timur
Kajoran;Magelang
Kolono Timur;Konawe Selatan
Kedungadem;Bojonegoro
Kersamanah;Garut
Karanganom;Klaten
Kota Lama;Kupang
Kajuara;Bone
Kota Maba;Halmahera Timur
Kakas;Minahasa
Kersana;Brebes
Karanganyar;Demak
Kota Manna;Bengkulu Selatan
Kertajati;Majalengka
Karanganyar;Karanganyar
Kertak Hanyar;Banjar
Kota Masohi;Maluku Tengah
Kombay;Boven Digoel
Kertanegara;Purbalingga
Kabawo;Muna
Kertapati;Palembang
Kota Mukomuko (Mukomuko Utara);Muko Muko
Kertasari;Bandung
Kakas Barat;Minahasa
Karanganyar;Kebumen
Kota Padang;Rejang Lebong
Kombeng (Kongbeng);Kutai Timur
Kakuluk Mesak;Belu
Kabianggama;Yahukimo
Kota Raja;Kupang
Karanganyar;Pekalongan
Kertasemaya;Indramayu
Kota Selatan;Gorontalo
Kombi;Minahasa
Kertek;Wonosobo
Kabila;Bone Bolango
Kertosono;Nganjuk
Kota Sigli;Pidie
Kalaena;Luwu Timur
Kota Soe;Timor Tengah Selatan
Kalanganyar;Lebak
Karanganyar;Purbalingga
Kota Sumenep;Sumenep
Kombut;Boven Digoel
Kalapanunggal (Kalapa Nunggal);Sukabumi
Kota Tambolaka;Sumba Barat Daya
Kota Tengah;Gorontalo
Kota Ternate Selatan;Ternate
Kemiling;Bandar Lampung
Keruak;Lombok Timur
Kabila Bone;Bone Bolango
Kota Ternate Tengah;Ternate
Karanganyar;Ngawi
Kerumutan;Pelalawan
Kota Ternate Utara;Ternate
Komodo;Manggarai Barat
Kota Timur;Gorontalo
Kemiri;Tangerang
Kota Utara;Gorontalo
Kabola;Alor
Karangrejo;Magetan
Karangasem (Karang Asem);Karangasem
Kota Waikabubak;Sumba Barat
Galur;Kulon Progo
Karangrejo (Karang Rejo);Tulungagung
Kemiri;Purworejo
Kamu Utara;Dogiyai
Kona;Yahukimo
Kedungbanteng (Kedung Banteng);Banyumas
2 x 11 Kayu Tanam;Padang Pariaman
Kedungbanteng (Kedung Banteng);Tegal
Kamundan;Teluk Bintuni
Labuan Amas Utara;Hulu Sungai Tengah
Amanuban Selatan;Timor Tengah Selatan
Kedungdung;Sampang
Kota Waingapu;Sumba Timur
Abab;Penukal Abab Lematang Ilir
Kanatang;Sumba Timur
Karangsambung;Kebumen
Kemlagi;Mojokerto
Abad Selatan;Alor
Labuapi;Lombok Barat
Kedunggalar;Ngawi
Kabuh;Jombang
Kota Waisai;Raja Ampat
Konang;Bangkalan
Karangsembung;Cirebon
Abang;Karangasem
Kedungjajang;Lumajang
Kotaanyar (Kota Anyar);Probolinggo
Kempas;Indragiri Hilir
Karangtengah;Cianjur
Kempo;Dompu
Gambir;Jakarta Pusat
Labuhan Badas;Sumbawa
Abeli;Kendari
Konawe;Konawe
Kotabumi;Lampung Utara
Abenaho;Yalimo
Kabun;Rokan Hulu
Kemranjen;Banyumas
Abepura;Jayapura
Abiansemal;Badung
Aboy;Pegunungan Bintang
Konda;Konawe Selatan
Karangtengah;Garut
Abuki;Konawe
Labuhan Deli;Deli Serdang
Kemtuk;Jayapura
Abun;Tambrauw
Karangtengah;Wonogiri
Konda;Sorong Selatan
Labuhan Haji;Aceh Selatan
Karangtengah (Karang Tengah);Demak
Abung Barat;Lampung Utara
Labuhan Haji;Lombok Timur
Kraksaan;Probolinggo
Kotabumi Selatan;Lampung Utara
Kemtuk Gresi;Jayapura
Kasiman;Bojonegoro
Karangwareng;Cirebon
Kemuning;Indragiri Hilir
KI'E (Kie, Ki'e);Timor Tengah Selatan
Konda/ Kondaga;Tolikara
Lakudo;Buton Tengah
Kotabumi Utara;Lampung Utara
Kadatua;Buton Selatan
Kramat;Tegal
Karas;Magetan
Kemuning;Palembang
Labuhan Haji Barat;Aceh Selatan
Kian Darat;Seram Bagian Timur
Abung Kunang;Lampung Utara
Konhir;Sorong
Kiaracondong;Bandung
Abung Pekurun;Lampung Utara
Lalabata;Soppeng
Kotabunan;Bolaang Mongondow Timur
Kramatjati (Kramat Jati);Jakarta Timur
Kotagede;Yogyakarta
Karangawen;Demak
Kasimbar;Parigi Moutong
Labuhan Haji Timur;Aceh Selatan
Kontu Kowuna;Muna
Lalan;Musi Banyuasin
Kotamobagu Barat;Kotamobagu
Karangbinangun;Lamongan
Karas;Fak Fak
Kramatmulya (Kramat Mulya);Kuningan
Labuhan Maringgai;Lampung Timur
Kontuar;Merauke
Kramatwatu;Serang
Kiarapedes;Purwakarta
Karangdadap;Pekalongan
Lalembuu;Konawe Selatan
Kademangan;Blitar
Kotamobagu Selatan;Kotamobagu
Kramongmongga;Fak Fak
Karau Kuala;Barito Selatan
Kasiruta Barat;Halmahera Selatan
Labuhan Ratu;Lampung Timur
Lalolae;Kolaka Timur
Kemusu;Boyolali
Karawaci;Tangerang
Kranggan;Mojokerto
Kencong;Jember
Kasiruta Timur;Halmahera Selatan
Kibin;Serang
Kotamobagu Timur;Kotamobagu
Lalonggasumeeto;Konawe
Karangdowo;Klaten
Labuhan Ratu;Bandar Lampung
Kranggan;Temanggung
Kotamobagu Utara;Kotamobagu
Kademangan;Probolinggo
Kasokandel;Majalengka
Karawang Barat;Karawang
Kendahe;Kepulauan Sangihe
Kikim Barat;Lahat
Karanggayam;Kebumen
Kikim Selatan;Lahat
Kendal;Ngawi
Kasomalang;Subang
Ladongi;Kolaka Timur
Kadia;Kendari
Krangkeng;Indramayu
Kotanopan;Mandailing Natal
Lamaknen;Belu
Karanggede;Boyolali
Lae Parira;Dairi
Kikim Tengah;Lahat
Kendal;Kendal
Kasreman;Ngawi
Kotapinang (Kota Pinang);Labuhanbatu Selatan
Kesamben;Blitar
Kras;Kediri
Laenmanen;Malaka
Lamaknen Selatan;Belu
Kontunaga;Muna
Kotarih;Serdang Bedagai
Abung Selatan;Lampung Utara
Kikim Timur;Lahat
Amanuban Tengah;Timor Tengah Selatan
Kasui;Way Kanan
Balingga Barat;Lanny Jaya
Kesamben;Jombang
Amanuban Timur;Timor Tengah Selatan
Kilmid;Nduga
Kendari;Kendari
Kotawaringin Lama;Kotawaringin Barat
Kraton;Yogyakarta
Karanggeneng (Karang Geneng);Lamongan
Lamala;Banggai
Kopang;Lombok Tengah
Balinggi;Parigi Moutong
Kilmury;Seram Bagian Timur
Kesambi;Cirebon
Kendari Barat;Kendari
Amar;Mimika
Karawang Timur;Karawang
Katala Hamu Lingu;Sumba Timur
Amarasi;Kupang
Kadipaten;Majalengka
Laeya;Konawe Selatan
Lamandau;Lamandau
Amarasi Barat;Kupang
Kesesi;Pekalongan
Karangjambu;Purbalingga
Kraton;Pasuruan
Koting;Sikka
Kendawangan;Ketapang
Katang Bidare;Lingga
Kare;Madiun
Amarasi Selatan;Kupang
Lamasi;Luwu
Kadipaten;Tasikmalaya
Lage;Poso
Amarasi Timur;Kupang
Kilo;Dompu
Koto Balingka;Pasaman Barat
Katapang;Bandung
Lamasi Timur;Luwu
Kopay;Asmat
Kimaam;Merauke
Kendit;Situbondo
Krayan;Nunukan
Laguboti;Toba
Kinal;Kaur
Koto Baru;Dharmasraya
Lamba Leda;Manggarai Timur
Kenduruan;Tuban
Kesu;Toraja Utara
Krayan Barat;Nunukan
Kopo;Serang
Karera;Sumba Timur
Kinali;Pasaman Barat
Kadudampit;Sukabumi
Kesugihan;Cilacap
Kateman;Indragiri Hilir
Kenjeran;Surabaya
Koto Baru;Sungai Penuh
Kora;Nduga
Laham;Mahakam Ulu
Kenohan;Kutai Kartanegara
Ketahun;Bengkulu Utara
Karimun;Karimun
Kadugede;Kuningan
Abung Semuli;Lampung Utara
Abung Surakarta;Lampung Utara
Koto Besar;Dharmasraya
Ambal;Kebumen
Ketambe;Aceh Tenggara
Ambalau;Sintang
Lahat;Lahat
Ambalau;Buru Selatan
Karimunjawa (Karimun Jawa);Jepara
Ambalawi;Bima
Koto Gasib;Siak
Balla;Mamasa
Ketanggungan;Brebes
Lahat Selatan;Lahat
Karossa;Mamuju Tengah
Ambarawa;Pringsewu
Ambarawa;Semarang
Balocci;Pangkajene Kepulauan
Koto Kampar Hulu;Kampar
Balong;Ponorogo
Kartasura;Sukoharjo
Balongan;Indramayu
Lahei;Barito Utara
Ambatkwi (Ambatkui);Boven Digoel
Koto Parik Gadang Diateh;Solok Selatan
Balongbendo;Sidoarjo
Koto Salak;Dharmasraya
Amberbaken;Tambrauw
Lahei Barat;Barito Utara
Batu Ketulis;Lampung Barat
Koto Tangah;Padang
Lahewa;Nias Utara
Kartoharjo;Madiun
Abung Tengah;Lampung Utara
Batu Lanteh (Batulanteh);Sumbawa
Abung Timur;Lampung Utara
Koto VII;Sijunjung
Abung Tinggi;Lampung Utara
Kartoharjo (Kertoharjo);Magetan
Balongpanggang (Balong Panggang);Gresik
Lahewa Timur;Nias Utara
Balung;Jember
Koto XI Tarusan;Pesisir Selatan
Karu;Lanny Jaya
Lahomi (Gahori);Nias Barat
Ketapang;Sampang
Adian Koting;Tapanuli Utara
Balusu;Barru
Kouh;Boven Digoel
Adiluwih (Adi Luwih);Pringsewu
Karubaga;Tolikara
Adimulyo;Kebumen
Adipala;Cilacap
Ketapang;Lampung Selatan
Lahusa;Nias Selatan
Kradenan;Blora
Balusu;Toraja Utara
Laikang;Takalar
Kradenan;Grobogan
Adiwerna;Tegal
Ketol;Aceh Tengah
Bambaira;Pasangkayu (Mamuju Utara)
Lainea;Konawe Selatan
Adonara;Flores Timur
Kragan;Rembang
Adonara Barat;Flores Timur
Bambalamotu;Pasangkayu (Mamuju Utara)
Adonara Tengah;Flores Timur
Krayan Selatan;Nunukan
Adonara Timur;Flores Timur
Aek Bilah;Tapanuli Selatan
Lamba Leda Selatan (Poco Ranaka);Manggarai Timur
Bambang;Mamasa
Krayan Tengah;Nunukan
Aek Kuasan;Asahan
Kindang;Bulukumba
Lamba Leda Timur (Poco Ranaka Timur);Manggarai Timur
Kinovaro;Sigi
Bambanglipuro (Bambang Lipuro);Bantul
Aek Kuo;Labuhanbatu Utara
Krayan Timur;Nunukan
Bambel;Aceh Tenggara
Katibung;Lampung Selatan
Kintamani;Bangli
Lamba Leda Utara;Manggarai Timur
Aek Ledong;Asahan
Krejengan;Probolinggo
Bamgi;Mappi
Katiku Tana;Sumba Tengah
Aek Nabara Barumun;Padang Lawas
Lambai;Kolaka Utara
Aek Natas;Labuhanbatu Utara
Krembangan;Surabaya
Katiku Tana Selatan (Katikutana Selatan);Sumba Tengah
Kintap;Tanah Laut
Lambandia;Kolaka Timur
Karusen Janang;Barito Timur
Krembung;Sidoarjo
Aek Songsongan;Asahan
Kintom;Banggai
Lais;Musi Banyuasin
Aere;Kolaka Timur
Kragilan;Serang
Katingan Hilir;Katingan
Aertembaga (Bitung Timur);Bitung
Karya Penggawa;Pesisir Barat
Katingan Hulu;Katingan
Aesesa;Nagekeo
Ketungau Hilir;Sintang
Lais;Bengkulu Utara
Krepkuri;Nduga
Kasembon;Malang
Katingan Kuala;Katingan
Ketungau Hulu;Sintang
Kresek;Tangerang
Aesesa Selatan;Nagekeo
Kirihi;Waropen
Lakarsantri;Surabaya
Batu Layar;Lombok Barat
Katingan Tengah;Katingan
Kasemen;Serang
Afulu;Nias Utara
Ketungau Tengah;Sintang
Agandugume;Puncak
Kretek;Bantul
Kasi;Tambrauw
Batu Licin (Batulicin);Tanah Bumbu
Kisam Ilir;Ogan Komering Ulu Selatan
Batu Mandi;Balangan
Kisam Tinggi;Ogan Komering Ulu Selatan
Agats;Asmat
Batu Putih;Berau
Krian;Sidoarjo
Keumala;Pidie
Agimuga;Mimika
Lakbok;Ciamis
Kisar Selatan (Pulau Pulau Terselatan);Maluku Barat Daya
Kewapante;Sikka
Lambewi;Puncak
Kasihan;Bantul
Agisiga;Intan Jaya
Lakea (Lipunoto);Buol
Kisar Utara;Maluku Barat Daya
Agrabinta;Cianjur
Kromengan;Malang
Katobu;Muna
Ki;Boven Digoel
Lambitu;Bima
Aifat;Maybrat
Kismantoro;Wonogiri
Aifat Selatan;Maybrat
Kronjo;Tangerang
Batu Putih;Timor Tengah Selatan
Aifat Timur;Maybrat
Katoi;Kolaka Utara
Aifat Timur Jauh;Maybrat
Lamboya;Sumba Barat
Aifat Timur Selatan;Maybrat
Kroya;Indramayu
Kaubun;Kutai Timur
Kok Baun;Timor Tengah Selatan
Lambu;Bima
Batu Putih;Kolaka Utara
Kokalukuna;Bau Bau
Aifat Timur Tengah;Maybrat
Larompong;Luwu
Kiwirok;Pegunungan Bintang
Batu Putih;Tulang Bawang Barat
Kokap;Kulon Progo
Kenyam;Nduga
Kroya;Cilacap
Aifat Utara;Maybrat
Kulisusu (Kalingsusu/Kalisusu);Buton Utara
Kiwirok Timur;Pegunungan Bintang
Koragi;Jayawijaya
Lambu Kibang;Tulang Bawang Barat
Kaduhejo;Pandeglang
Aikmel;Lombok Timur
Krucil;Probolinggo
Kokas;Fak Fak
Aimando Padaido;Biak Numfor
Keo Tengah;Nagekeo
Kauditan;Minahasa Utara
Aimas;Sorong
Larompong Selatan;Luwu
Lambuya;Konawe
Batu Sopang;Paser
Kulisusu Barat;Buton Utara
Krueng Barona Jaya;Aceh Besar
Batuan;Sumenep
Lasalepa;Muna
Kormomolin;Kepulauan Tanimbar (Maluku Tenggara Barat)
Kiyage;Puncak Jaya
Kulisusu Utara;Buton Utara
Kauman;Ponorogo
Kep. Bala Balakang;Mamuju
Kokoda;Sorong Selatan
Lamongan;Lamongan
Koroncong;Pandeglang
Kulo;Sidenreng Rappang
Lasalimu;Buton
Krueng Sabee;Aceh Jaya
Kadungora;Garut
Kuly Lanny;Lanny Jaya
Klabang;Bondowoso
Lasalimu Selatan;Buton
Kauman;Tulungagung
Kumai;Kotawaringin Barat
Lasem;Rembang
Krui Selatan;Pesisir Barat
Lasiolat;Belu
Klabot;Sorong
Aimere;Ngada
Lasolo;Konawe Utara
Lampasio;Toli Toli
Batuceper;Tangerang
Lasolo Kepulauan;Konawe Utara
Kumelembuai;Minahasa Selatan
Amberbaken Barat;Tambrauw
Kaur Selatan;Kaur
Lasusua;Kolaka Utara
Batudaa;Gorontalo
